Region,Stages,Gene_Symbol
E19 only,E19,CRISP2
E19 only,E19,DND1
E19 only,E19,DNMT3L
E19 only,E19,INHBA
E19 only,E19,KDM1B
E19 only,E19,MORC1
E19 only,E19,PABPC1L
E19 only,E19,RNF17
E19 only,E19,SLC25A31
E19 only,E19,SOHLH1
E19 only,E19,TDRD9
E19 only,E19,TDRKH
E19 only,E19,WDR66
2W only,2W,ASCL2
2W only,2W,ATR
2W only,2W,CCDC155
2W only,2W,CECR2
2W only,2W,CLDN11
2W only,2W,CTCFL
2W only,2W,DHCR24
2W only,2W,DMRTA1
2W only,2W,EAF2
2W only,2W,EPAS1
2W only,2W,GAL3ST1
2W only,2W,H1F1
2W only,2W,HERC2
2W only,2W,HFM1
2W only,2W,IL1B
2W only,2W,JAG2
2W only,2W,KIT
2W only,2W,LY6K
2W only,2W,M1AP
2W only,2W,MEIOB
2W only,2W,MERTK
2W only,2W,NKX3-1
2W only,2W,NUP210L
2W only,2W,PRSS42
2W only,2W,RAD21L1
2W only,2W,RHOX8
2W only,2W,SIRT7
2W only,2W,SPIRE1
2W only,2W,SRD5A1
2W only,2W,STRA8
2W only,2W,SYCE2
2W only,2W,TEX11
2W only,2W,XLR4A
2W only,2W,ZGLP1
2W only,2W,HECW2
6W only,6W,ABHD2
6W only,6W,ACE
6W only,6W,ACR
6W only,6W,ACRBP
6W only,6W,ACSBG2
6W only,6W,ACTR1A
6W only,6W,ADAD1
6W only,6W,ADAM18
6W only,6W,ADAM28
6W only,6W,ADAM30
6W only,6W,ADAM32
6W only,6W,ADCY10
6W only,6W,ADCYAP1
6W only,6W,AGFG1
6W only,6W,AGO2
6W only,6W,AKAP3
6W only,6W,AKAP4
6W only,6W,ANKRD49
6W only,6W,AP3B1
6W only,6W,ARMC2
6W only,6W,ARSA
6W only,6W,ATP1A4
6W only,6W,ATP8B3
6W only,6W,AURKC
6W only,6W,AZIN2
6W only,6W,BAG6
6W only,6W,BBS2
6W only,6W,BCL2L1
6W only,6W,BIRC2
6W only,6W,BIRC3
6W only,6W,BOLL
6W only,6W,BRDT
6W only,6W,BRINP1
6W only,6W,BTG1
6W only,6W,CABS1
6W only,6W,CABYR
6W only,6W,CALR3
6W only,6W,CAPZA3
6W only,6W,CATSPER1
6W only,6W,CATSPER2
6W only,6W,CATSPER3
6W only,6W,CATSPER4
6W only,6W,CATSPERD
6W only,6W,CATSPERG
6W only,6W,CATSPERZ
6W only,6W,CCDC136
6W only,6W,CCDC182
6W only,6W,CCDC39
6W only,6W,CCDC40
6W only,6W,CCDC42
6W only,6W,CCDC63
6W only,6W,CCDC87
6W only,6W,CCIN
6W only,6W,CCNA1
6W only,6W,CCNB1
6W only,6W,CCNE1
6W only,6W,CCT2
6W only,6W,CCT3
6W only,6W,CCT4
6W only,6W,CCT5
6W only,6W,CCT7
6W only,6W,CD46
6W only,6W,CDKL2
6W only,6W,CDYL
6W only,6W,CELF3
6W only,6W,CEP131
6W only,6W,CEP57
6W only,6W,CFAP157
6W only,6W,CFAP206
6W only,6W,CFAP69
6W only,6W,CFAP97D1
6W only,6W,CFTR
6W only,6W,CHD5
6W only,6W,CHFR
6W only,6W,CIB1
6W only,6W,CKS2
6W only,6W,CLGN
6W only,6W,CLIC5
6W only,6W,CNTRL
6W only,6W,COL16A1
6W only,6W,CORIN
6W only,6W,CREM
6W only,6W,CSMD1
6W only,6W,CSNK2A2
6W only,6W,CYLC1
6W only,6W,CYLC2
6W only,6W,DAZAP1
6W only,6W,DDX20
6W only,6W,DEDD
6W only,6W,DMRT2
6W only,6W,DMRTB1
6W only,6W,DNAH1
6W only,6W,DNAH5
6W only,6W,DNAI1
6W only,6W,DNAJB6
6W only,6W,DNM2
6W only,6W,DPCD
6W only,6W,DPY19L2
6W only,6W,DRC7
6W only,6W,DUSP13
6W only,6W,DYNLL1
6W only,6W,DZIP1
6W only,6W,EFCAB9
6W only,6W,EIF2B2
6W only,6W,EIF2B4
6W only,6W,EIF2S2
6W only,6W,EIF4H
6W only,6W,EME1
6W only,6W,ENKUR
6W only,6W,ENO4
6W only,6W,EPO
6W only,6W,EQTN
6W only,6W,ERCC1
6W only,6W,ESPL1
6W only,6W,ETV2
6W only,6W,EXD1
6W only,6W,FABP9
6W only,6W,FAM170A
6W only,6W,FAM170B
6W only,6W,FANCG
6W only,6W,FBXO43
6W only,6W,FEM1B
6W only,6W,FNDC3A
6W only,6W,FSCN3
6W only,6W,FZR1
6W only,6W,GALNTL5
6W only,6W,GAPDHS
6W only,6W,GAS8
6W only,6W,GDF9
6W only,6W,GGN
6W only,6W,GGNBP2
6W only,6W,GGT7
6W only,6W,GHSR
6W only,6W,GJA10
6W only,6W,GLIPR1L1
6W only,6W,GLIPR1L2
6W only,6W,GOLGA3
6W only,6W,GPR149
6W only,6W,GPX4
6W only,6W,GREB1L
6W only,6W,H2BC1
6W only,6W,HERC4
6W only,6W,HERPUD2
6W only,6W,HOOK1
6W only,6W,HORMAD2
6W only,6W,HROB
6W only,6W,HSD17B2
6W only,6W,HSPA1L
6W only,6W,IDO1
6W only,6W,IFT20
6W only,6W,IFT27
6W only,6W,IFT81
6W only,6W,IL1A
6W only,6W,ING2
6W only,6W,IQCF1
6W only,6W,IQCG
6W only,6W,IRX5
6W only,6W,IZUMO1
6W only,6W,KCNU1
6W only,6W,KDM3A
6W only,6W,KLHDC3
6W only,6W,KLHL10
6W only,6W,KPNA6
6W only,6W,LDHC
6W only,6W,LEF1
6W only,6W,LHB
6W only,6W,LLCFC1
6W only,6W,LRGUK
6W only,6W,LRRC52
6W only,6W,LRRC6
6W only,6W,LYZL4
6W only,6W,LYZL6
6W only,6W,MAFF
6W only,6W,MAK
6W only,6W,MAPK15
6W only,6W,MAPK8IP2
6W only,6W,MAS1
6W only,6W,MAST2
6W only,6W,MCM9
6W only,6W,MCMDC2
6W only,6W,MEA1
6W only,6W,MEIG1
6W only,6W,MFSD14A
6W only,6W,MGAT4D
6W only,6W,MMP9
6W only,6W,MORN2
6W only,6W,MSH3
6W only,6W,MST1
6W only,6W,MUS81
6W only,6W,MYBL1
6W only,6W,MYCBP
6W only,6W,NASP
6W only,6W,NBN
6W only,6W,NCOA4
6W only,6W,NDRG3
6W only,6W,NECTIN3
6W only,6W,NEK2
6W only,6W,NEURL1
6W only,6W,NIPBL
6W only,6W,NKAPL
6W only,6W,NLRP14
6W only,6W,NME5
6W only,6W,NME8
6W only,6W,NPAS1
6W only,6W,NSUN2
6W only,6W,NUP62
6W only,6W,OAZ3
6W only,6W,ODF1
6W only,6W,ODF2
6W only,6W,ODF3
6W only,6W,ODF4
6W only,6W,OPRL1
6W only,6W,OSBP2
6W only,6W,OVOL1
6W only,6W,OVOL2
6W only,6W,PAQR5
